"STATION","NAME","LATITUDE","LONGITUDE","ELEVATION","DATE","AWND","AWND_ATTRIBUTES","PGTM","PGTM_ATTRIBUTES","PRCP","PRCP_ATTRIBUTES","TAVG","TAVG_ATTRIBUTES","TMAX","TMAX_ATTRIBUTES","TMIN","TMIN_ATTRIBUTES","TSUN","TSUN_ATTRIBUTES","WSF2","WSF2_ATTRIBUTES","WSF5","WSF5_ATTRIBUTES","WT01","WT01_ATTRIBUTES","WT02","WT02_ATTRIBUTES","WT03","WT03_ATTRIBUTES","WT04","WT04_ATTRIBUTES","WT05","WT05_ATTRIBUTES","WT06","WT06_ATTRIBUTES","WT08","WT08_ATTRIBUTES"
"USW00094728","NY CITY CENTRAL PARK, NY US","40.77898","-73.96925","42.7","2018-07-22","1.5",",,W",,,"26.9",",,W,2400",,,"26.1",",,W","21.1",",,W",,,"6.3",",,W","13.4",",,W","    1",",,W","    1",",,W",,,,,,,,,,
"USW00094728","NY CITY CENTRAL PARK, NY US","40.77898","-73.96925","42.7","2018-07-23","2.0",",,W",,,"4.3",",,W,2400",,,"26.7",",,W","22.8",",,W",,,"5.4",",,W","11.6",",,W","    1",",,W",,,,,,,,,,,,
"USW00094728","NY CITY CENTRAL PARK, NY US","40.77898","-73.96925","42.7","2018-07-24","2.3",",,W",,,"0.5",",,W,2400",,,"27.8",",,W","23.9",",,W",,,"6.3",",,W","11.6",",,W","    1",",,W",,,,,,,,,,,,
"USW00094728","NY CITY CENTRAL PARK, NY US","40.77898","-73.96925","42.7","2018-07-25","1.7",",,W",,,"18.5",",,W,2400",,,"25.0",",,W","22.2",",,W",,,"5.8",",,W","14.3",",,W","    1",",,W",,,,,,,,,,,,
"USW00094728","NY CITY CENTRAL PARK, NY US","40.77898","-73.96925","42.7","2018-07-26","1.5",",,W",,,"0.8",",,W,2400",,,"29.4",",,W","22.2",",,W",,,"3.6",",,W","5.4",",,W","    1",",,W",,,,,,,,,,,,
"USW00094728","NY CITY CENTRAL PARK, NY US","40.77898","-73.96925","42.7","2018-07-27","1.1",",,W",,,"6.4",",,W,2400",,,"30.0",",,W","20.0",",,W",,,"5.4",",,W","9.4",",,W","    1",",,W",,,"    1",",,W",,,,,,,,
"USW00094728","NY CITY CENTRAL PARK, NY US","40.77898","-73.96925","42.7","2018-07-28","0.5",",,W",,,"0.0",",,W,2400",,,"29.4",",,W","21.1",",,W",,,"3.6",",,W","5.4",",,W","    1",",,W",,,,,,,,,,,"    1",",,W"
"USW00094728","NY CITY CENTRAL PARK, NY US","40.77898","-73.96925","42.7","2018-07-29","0.9",",,W",,,"0.0",",,W,2400",,,"27.8",",,W","21.1",",,W",,,"4.0",",,W","5.8",",,W",,,,,,,,,,,,,,
"USW00094728","NY CITY CENTRAL PARK, NY US","40.77898","-73.96925","42.7","2018-07-30","0.6",",,W",,,"9.4",",,W,2400",,,"25.6",",,W","20.0",",,W",,,"3.1",",,W","5.4",",,W","    1",",,W",,,,,,,,,,,"    1",",,W"
"USW00094728","NY CITY CENTRAL PARK, NY US","40.77898","-73.96925","42.7","2018-07-31","0.7",",,W",,,"0.0",",,W,2400",,,"27.8",",,W","20.0",",,W",,,"3.6",",,W","6.7",",,W",,,,,,,,,,,,,,
